Gender,age range,geographical zone,Academic Status, Education Level/Certificates (You can choose more than one),social Media Platforms , emerging technologies ,How do you access your social media platforms? (You can choose more than one),How long have you been using social networking sites?,How often do you visit your Social Network accounts?,"On average, how much time do you spend daily on a social networking site?",How many of your classmates are your contacts/friends on your social networking sites?,Why do you use social networks? (You can choose more than one),Incorporating social media platforms and emerging technologies highlighted earlier will enhance my productivity as a Student,Social media platforms and emerging technologies highlighted earlier could help facilitate learning and engage students at educational institutions?,Incorporating social media and emerging technologies as a teaching tool will increase my comprehension and assimilation as a student,Educational Learning via the social media platforms will be easy for me,Educational Learning via emerging technologies highlighted earlier will be easy for me, It will be beneficial for me to become skilful at using social media platforms and emerging technologies for learning, My colleagues think I should use social media and emerging technologies for learning,My family and friends will appreciate my use of social media and emerging technologies for learning,My privacy will be infringed if social media platforms and emerging technologies are proposed for teaching and learning,Internet availability and signal strength will be a problem in using the social media and emerging technologies for learning  ,Internet data bundles affordability will be a problem in using the social media and emerging technologies for learning  ,Power availability will be a problem in using the social media and emerging technologies for learning  ,I have the technical skills to use social media platforms and emerging technologies for learning,I will be willing to use social media platforms and emerging technologies for learning., I will be willing to devote the required time and energy for my learning activities via social media platforms and emerging technologies for learning.,"If you are not willing to use nor devote time to social media and emerging technologies for learning, State Why.",Are you presently involved in e-learning using any social media platform or emerging technologies earlier highlighted?,Which elearning courses or platforms are you currently engaged in.
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;LinkedIn,"Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Smatphone,3-5 years,Weekly,1 - 6 hours per day,51- 100,To find information;To keep in touch with family and friends;To get latest information/gist;For academic purposes;To while away time,Agree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,,No,
Male,15 - 25,South West (SW),Non Students,"SSCE;First Degree (BSc, B.Tech, B.Edu, ...)",Facebook;Twitter;WhatsApp;LinkedIn;Tiktok,Google Classroom;Web-based Elearning Platforms,Smatphone,above 5 years,Daily,7 - 12 hours per day,Almost everyone,To find information;To get latest information/gist;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Agree,,Yes,YALI Network
Male,15 - 25,South East (SE),Student - Full time,SSCE,Facebook;WhatsApp;YouTube;Snapchat,Web-based Elearning Platforms,Smatphone,above 5 years,Daily,7 - 12 hours per day,Less than 20,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;To while away time,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube;Pinterest,"Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc;Software design",Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To play games;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,,Yes,"EDX - Environmental science, Telegram - Software design"
Male,26 - 35,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;Pinterest,"Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Smatphone,above 5 years,Daily,1 - 6 hours per day,Less than 20,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;For academic purposes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,,Yes,UDEMY
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Instagram;WhatsApp;Telegram,Whatsapp,Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To keep in touch with family and friends;To get latest information/gist;For academic purposes;To while away time,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,,Yes,Bioinformatics via WhatsApp 
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;Snapchat,"Zoom;Facebook Live;Learning Management System (Moodle, Talent, Docebo etc.)",Smatphone,above 5 years,Daily,Always online,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;WhatsApp,"Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Smatphone,above 5 years,Daily,1 - 6 hours per day,Less than 20,To find information;To keep in touch with family and friends;To get latest information/gist;For academic purposes,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,"SSCE;First Degree (BSc, B.Tech, B.Edu, ...)",Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;Snapchat;Tiktok,Zoom;Facebook Live,Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,Less than 20,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,Yes,"365datascuence, Harvard Business Online"
Male,26 - 35,South West (SW),Non Students,"SSCE;OND;First Degree (BSc, B.Tech, B.Edu, ...)",Facebook;Twitter;Instagram;WhatsApp;LinkedIn;YouTube;Snapchat;Google Plus,"Facebook Live;Google Classroom;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc;Microsoft's Team;Web-based Elearning Platforms",Laptop;Smatphone,above 5 years,Daily,Always online,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Coursera
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Instagram;WhatsApp,"Facebook Live;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Smatphone,3-5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,,Yes,Skills aquisition 
Male,26 - 35,South West (SW),Non Students,"First Degree (BSc, B.Tech, B.Edu, ...)",Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube;Pinterest,"Zoom;Google Classroom;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc;Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...);Augmented (Virtual ) Reality & Simulations;Web-based Elearning Platforms",Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,51- 100,To find information;To make professional and business contacts;To keep in touch with family and friends;For academic purposes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,"Alison, Coursera, Zoom, Goggle Classroom, Whatsapp, Edx, Udemy,  Futurelearn"
Female,15 - 25,South West (SW),Student - Full time,SSCE;OND;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;Snapchat,"Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,51- 100,To find information;To get latest information/gist;To while away time,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,SSCE,Facebook;Twitter;Instagram;WhatsApp;Telegram,Facebook Live,Smatphone,3-5 years,Daily,7 - 12 hours per day,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube,"Google Classroom;Learning Management System (Moodle, Talent, Docebo etc.);Web-based Elearning Platforms",Laptop;Desktop;Smatphone,above 5 years,Daily,7 - 12 hours per day,51- 100,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share your experience;For academic purposes;To while away time,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,,Yes,
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;YouTube;Pinterest;Snapchat;Tiktok,Google Classroom;Gamification via Games-based learning (GBL);Web-based Elearning Platforms,Laptop;Smatphone;Tablet or Ipad,above 5 years,Daily,7 - 12 hours per day,Almost everyone,To find information;To play games;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Google class
Male,15 - 25,North East (NE),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Snapchat,WhatsApp,Smatphone,above 5 years,Daily,Less than 1 hour,Almost everyone,To find information;To keep in touch with family and friends;To make new friends;To share your experience;For academic purposes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,,No,
Female,15 - 25,South West (SW),Student - Full time,Undegraduate (presently in University),Facebook;WhatsApp,Facebook Live,Smatphone,3-5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;For academic purposes,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Neutral,Neutral,,No,
Male,15 - 25,South West (SW),Student - Full time,"SSCE;Undegraduate (presently in University);First Degree (BSc, B.Tech, B.Edu, ...)",Facebook;Instagram;WhatsApp,Zoom;Facebook Live,Laptop;Smatphone,above 5 years,Daily,Always online,Less than 20,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;To share your experience;For academic purposes,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Knowledge is power,Yes,Astronomy Theory class & wired life class
Male,15 - 25,South East (SE),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;LinkedIn;YouTube,"Facebook Live;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc;Artificial Intelligence (AI) via AI tutoring system using Robots, Holographic teacher",Laptop;Smatphone,3-5 years,Daily,7 - 12 hours per day,Almost everyone,To find information;To share your experience;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,
Male,26 - 35,South West (SW),Student - Full time,SSCE;OND;Undegraduate (presently in University),Facebook;Instagram;WhatsApp;Telegram;LinkedIn,"Zoom;Facebook Live;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Smatphone,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,Yes,Learning computer science (css5) with Harvard University online programme
Male,26 - 35,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube;Pinterest;Snapchat,"Zoom;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc;Web-based Elearning Platforms",Smatphone,above 5 years,Daily,Always online,Almost everyone,To find information;To play games;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Udemy 
Male,26 - 35,South West (SW),Student - Full time,SSCE;NCE;OND,Facebook;Twitter;WhatsApp;LinkedIn,Zoom;Facebook Live;Google Classroom;Web-based Elearning Platforms,Smatphone,above 5 years,Weekly,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Data science (Harvard free online courses ) 
Male,26 - 35,South West (SW),Non Students,"SSCE;First Degree (BSc, B.Tech, B.Edu, ...)",Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn,"Google Classroom;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To get latest information/gist;To share your experience;For academic purposes,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,,Yes,EDx
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn,Zoom,Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;For academic purposes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,,No,
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;YouTube;Snapchat;Tiktok,"Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Smatphone,3-5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;For academic purposes;To while away time,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,,No,
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;YouTube,Facebook Live;Google Classroom,Smatphone,above 5 years,Daily,7 - 12 hours per day,Almost everyone,To find information;To make professional and business contacts;To make new friends;To get latest information/gist;To share your experience;For academic purposes,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,,No,
Female,15 - 25,North Central (NC),Student - Full time,Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;YouTube;Snapchat;Google Plus,Facebook Live;Google Classroom;Microsoft's Team,Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To keep in touch with family and friends;To get latest information/gist;For academic purposes;To while away time,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube,Zoom;Facebook Live;Microsoft's Team;Web-based Elearning Platforms,Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,51- 100,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;For academic purposes,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Wordpress udemy
Male,15 - 25,South West (SW),Student - Full time,SSCE;OND;Undegraduate (presently in University),Facebook;Instagram;WhatsApp;LinkedIn;YouTube;Goodwall,Zoom;Google Classroom,Smatphone,above 5 years,Daily,1 - 6 hours per day,Less than 20,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To share your experience;For academic purposes,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,,Yes,•Lautech Skill Aquition Group(e-marketing) [WhatsApp platform]
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Instagram;WhatsApp;YouTube,WhatsApp group,Smatphone,above 5 years,Daily,Always online,20 - 50,To find information;To keep in touch with family and friends;To get latest information/gist;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,,No,
Female,15 - 25,South West (SW),Student - Full time,Undegraduate (presently in University),Facebook;Instagram;WhatsApp;Telegram,Facebook Live;Google Classroom,Smatphone,3-5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To while away time,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,,No,
Male,26 - 35,South West (SW),Non Students,"SSCE;First Degree (BSc, B.Tech, B.Edu, ...);MBA, PGD, MiT and other professional certificates;Masters (MSc, MTech, MEdu...)",Facebook;Twitter;WhatsApp;Telegram;LinkedIn;YouTube;Pinterest;Google Plus,Google Classroom;Web-based Elearning Platforms,Laptop;Desktop;Smatphone;Tablet or Ipad,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,,No,
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;YouTube;Snapchat,Zoom;Facebook Live,Smatphone,above 5 years,Daily,7 - 12 hours per day,20 - 50,To find information;To keep in touch with family and friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes;To while away time,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,Yes,Digital skills
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Instagram;WhatsApp;YouTube,Facebook Live,Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Instagram;WhatsApp;LinkedIn;Snapchat,Facebook Live,Laptop;Smatphone,above 5 years,Daily,Always online,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;For academic purposes,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,,Yes,ASPEN HYSIS 
Male,15 - 25,South East (SE),Student - Full time,Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Pinterest,"Facebook Live;Google Classroom;Learning Management System (Moodle, Talent, Docebo etc.);Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Smatphone,3-5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To make professional and business contacts;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;WhatsApp;Pinterest,"Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Smatphone,3-5 years,Daily,1 - 6 hours per day,Less than 20,To find information;To play games;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes;To while away time,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,"Am not willing to use social media for learning because of lack of subscription, power supply, bad network and lastly only notes will be given by the lecturer they will never explain the little they do explain in class. Thanks.",No,
Male,15 - 25,South West (SW),Student - Full time,Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;Snapchat,Facebook Live;Google Classroom,Smatphone,3-5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,,No,
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Snapchat;Google Plus,WhatsApp,Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To keep in touch with family and friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,,Yes,Google digital skills
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;YouTube;Snapchat,Zoom;Facebook Live,Smatphone,1-2 years,Daily,1 - 6 hours per day,Less than 20,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;For academic purposes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube;Pinterest,"Zoom;Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...);WhatsApp",Smatphone,above 5 years,Daily,7 - 12 hours per day,Almost everyone,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;To while away time,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,,Yes,Copywriting
Female,15 - 25,South West (SW),Student - Full time,Undegraduate (presently in University),WhatsApp,Facebook Live,Smatphone,3-5 years,Daily,Less than 1 hour,Less than 20,To find information,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,,No,
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Instagram;WhatsApp,Zoom,Smatphone,3-5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To keep in touch with family and friends;For academic purposes,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,I won't be easy for me to devote my time on Media because m not use to it before,No,
Female,15 - 25,South West (SW),Student - Full time,SSCE,WhatsApp;Pinterest;Snapchat,"Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Smatphone,above 5 years,Weekly,7 - 12 hours per day,Less than 20,To find information;To play games;To keep in touch with family and friends;To make new friends;To get latest information/gist;To while away time,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,,No,
Female,15 - 25,North East (NE),Student - Full time,SSCE;OND;Undegraduate (presently in University),Twitter;Instagram;WhatsApp;YouTube;Pinterest;Snapchat,"Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,"First Degree (BSc, B.Tech, B.Edu, ...)",WhatsApp,Web-based Elearning Platforms,Smatphone,above 5 years,Daily,1 - 6 hours per day,51- 100,To find information;To keep in touch with family and friends;To share videos/ pictures/ music;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,No,
